Keyword,Difficulty,"Search vol.","Search intent","SERP features",CPC,Competition
"sri lanka tours",10,20,I,"Reviews, Video, People also ask",2.01,0.6
"tour map of sri lanka",5,590,I,"Video, People also ask, Related searches",0.79,0.73
"tour in sri lanka map",5,590,I,"Reviews, Video, Related searches",0.79,0.73
"sri lanka tours map",5,590,I,"Reviews, Video, People also ask, Related searches",0.79,0.73
"sri lanka tour map",12,590,I,"Video, People also ask, Related searches",0.79,0.73
"sri lanka and maldives tour package",5,480,I,"Reviews, Video, Top Ads, Bottom Ads, AI Overview, Related searches",1.55,0.64
"sri lanka tour places",25,480,I,"Video, People also ask, Images, Knowledge Panel, Bottom Ads, Find results on, AI Overview, Related searches, Things to Do",0.66,0.33
"england tour of sri lanka 2026",14,390,I,"Video, People also ask, Sports, Related searches",0,0.04
"group tour sri lanka",11,320,I,"Reviews, Video, Bottom Ads, Related searches, Sites",2.39,0.65
"sri lanka group tour packages",12,320,"L, C","Reviews, Video, People also ask, Bottom Ads, GBP, Related searches, Sites",2.39,0.65
"sri lanka group tour",11,320,I,"Reviews, Video, Bottom Ads, Related searches, Sites",2.39,0.65
"sri lanka group tours",12,320,I,"Reviews, Video, Top Ads, Bottom Ads, Related searches, Sites",2.39,0.65
"group tours in sri lanka",12,320,I,"Reviews, Video, AI Overview, Related searches, Sites",2.39,0.65
"group tours sri lanka",12,320,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",2.39,0.65
"sri lanka tour holiday",10,260,I,"Reviews, Video, Bottom Ads, Related searches, Sites",2.08,0.46
"tour holidays sri lanka",10,260,I,"Reviews, Video, People also ask, AI Overview, Related searches",2.08,0.46
"sri lanka holidays tours",0,260,I,,2.08,0.46
"england sri lanka tour",7,260,I,"Reviews, Video, People also ask, Sports, AI Overview, Related searches",0.32,0.14
"sri lanka tour of england",0,260,I,,0.32,0.14
"sri lanka tour holidays",10,260,I,"Reviews, Video, Bottom Ads, Related searches",2.08,0.46
"holiday sri lanka tours",9,260,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",2.08,0.46
"sri lanka cricket england tour",13,260,I,"Video, Sports, Related searches",0.32,0.14
"england tour of sri lanka",8,260,I,"Video, People also ask, Sports, Related searches",0.32,0.14
"sri lanka england tour",12,260,I,"Video, Sports, Related searches",0.32,0.14
"holiday tours sri lanka",10,260,"L, C","Local pack, Reviews, Video, Related searches, Sites",2.08,0.46
"england sri lanka cricket tour",7,260,I,"Video, Sports, Related searches",0.32,0.14
"england cricket tour of sri lanka",7,260,I,"Video, Sports, Related searches",0.32,0.14
"sri lanka england cricket tour",10,260,I,"Video, People also ask, Sports, Related searches",0.32,0.14
"sri lanka holiday tours",10,260,"L, C","Reviews, Video, Bottom Ads, GBP, Related searches, Sites",2.08,0.46
"england tour to sri lanka",7,260,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.32,0.14
"england cricket tour sri lanka",9,260,I,"Video, Sports, Related searches",0.32,0.14
"sri lanka tours holidays",10,260,"L, C","Reviews, Video, Bottom Ads, GBP, Related searches, Sites",2.08,0.46
"holiday tours to sri lanka",10,260,"L, C","Local pack, Reviews, Video, Bottom Ads, AI Overview, Related searches, Sites",2.08,0.46
"sri lanka holiday tour",10,260,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",2.08,0.46
"tours of sri lanka",12,210,I,"Reviews, Video, People also ask, Images, Bottom Ads, Related searches, Sites",0.84,0.56
"tour for sri lanka",10,210,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites, Middle Ads",0.44,0.52
"tui sri lanka tour",13,210,I,"Reviews, Video, People also ask, Bottom Ads, Related searches, Image",0.82,0.25
"tour in sri lanka",10,210,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Middle Ads",0.44,0.52
"tours in sri lanka",12,210,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.44,0.52
"touring sri lanka",10,210,I,"Reviews, Video, People also ask, Images, Bottom Ads, AI Overview, Related searches",0.84,0.56
"lanka sri tour",10,210,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.44,0.52
"tours for sri lanka",10,210,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",0.44,0.52
"sri lanka tour agent",19,210,I,"Reviews, Video, People also ask, Bottom Ads, Related searches",2.9,0.5
"tour agents in sri lanka",30,210,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",2.9,0.5
"private sri lanka tour",4,170,"L, C","Local pack, Reviews, Video, Bottom Ads, Related searches, Sites",3.02,0.67
"reddot tours sri lanka",10,170,"L, N","Reviews, Sitelinks, Video, People also ask, Top Ads, Bottom Ads, GBP",3.53,0.56
"sri lanka safari tours",6,170,"L, C","Local pack, Reviews, Video, People also ask, Images, Bottom Ads, Find results on, Related searches",1.03,0.71
"private tour sri lanka",4,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",3.02,0.67
"sri lanka private tours",4,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches",3.02,0.67
"sri lanka private guided tours",8,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches, Sites",3.66,0.53
"private guided tours sri lanka",8,170,"L, C","Local pack, Reviews, Video, People also ask, Related searches, Sites",3.02,0.67
"safari tours sri lanka",5,170,"L, C","Local pack, Reviews, Video, People also ask, Bottom Ads, Related searches",1.03,0.71
