Keyword,Difficulty,"Search vol.","Search intent","SERP features",CPC,Competition
"visit sri lanka",21,660,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview",1.04,0.51
"best time to visit sri lanka",59,6600,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.29,0.24
"where to visit sri lanka",18,590,I,"Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches, Image, Sites",0.7,0.46
"where to visit in sri lanka",12,590,I,"Video, People also ask, Bottom Ads, Destinations, AI Overview, Image, Middle Ads",0.7,0.46
"sri lanka tourism places to visit",17,480,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches, Middle Ads",0.66,0.33
"best time to visit sri lanka weather",16,390,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.2,0.37
"best time visit sri lanka weather",16,390,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites, Middle Ads",0.2,0.37
"best time to visit sri lanka for weather",16,390,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.2,0.37
"sri lanka why visit",13,360,I,"Reviews, Video, People also ask, Images, Find results on, AI Overview, Related searches",1.04,0.51
"sri lanka visit places",21,320,I,"Reviews, Video, People also ask, Images, Bottom Ads, Destinations, Related searches, Image",0.61,0.36
"sri lanka visiting place",20,320,I,"Video, People also ask, Images, Bottom Ads, Find results on, Destinations, AI Overview, Related searches",0.61,0.36
"visit sri lanka places",18,320,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches",0.61,0.36
"sri lanka place to visit",18,320,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, Destinations, AI Overview",0.61,0.36
"sri lanka places to visit",12,320,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches",0.61,0.36
"places in sri lanka to visit",18,320,I,"Video, People also ask, Bottom Ads, Find results on",0.61,0.36
"sri lanka visiting places",21,320,I,"Reviews, Video, People also ask, Images, Bottom Ads, Find results on, Destinations, AI Overview, Image",0.68,0.27
"visit sri lanka best time",12,260,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.47,0.25
"best times to visit sri lanka",12,260,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.47,0.25
"best time to visit sri lanka and maldives",0,260,I,,0.83,0.48
"is sri lanka safe to visit",36,260,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches, Sites",0,0
"is it safe to visit sri lanka",36,260,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches, Sites",0,0
"best places of sri lanka to visit",12,210,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches",0.69,0.43
"top 10 places to visit in sri lanka",12,210,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches",0.55,0.31
"sri lanka best places to visit",12,210,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches",0.69,0.43
"top ten places to visit in sri lanka",12,210,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches",0.55,0.31
"sri lanka best places visit",12,210,I,"Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches, Image",0.7,0.36
"best places in sri lanka to visit",12,210,I,"Video, People also ask, Destinations, AI Overview, Related searches",0.69,0.43
"best place in sri lanka to visit",13,210,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, Destinations, AI Overview, Related searches",0.69,0.43
"is sri lanka worth visiting",12,210,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.56,0.12
"sri lanka best place to visit",12,210,I,"Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches",0.69,0.43
"must visit places in sri lanka",12,210,I,"Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.61,0.54
"top 10 places to visit sri lanka",12,210,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches",0.55,0.31
"best time for sri lanka visit",16,170,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.39,0.23
"best places to visit sri lanka",12,170,I,"Reviews, Video, People also ask, Find results on, Destinations, AI Overview, Related searches",0.68,0.46
"places to visit in colombo sri lanka",8,170,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches",0.27,0.15
"best time to visit in sri lanka",13,170,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches, Sites",0.39,0.23
"best time sri lanka visit",12,170,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Image, Sites",0.29,0.24
"best place to visit sri lanka",12,170,I,"Reviews, Video, People also ask, Destinations, AI Overview, Related searches",0.68,0.46
"visa to visit sri lanka",32,170,I,"People also ask, Bottom Ads, AI Overview, Related searches",1.15,0.47
"best time visit sri lanka",12,170,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.29,0.24
"do i need visa to visit sri lanka",42,140,I,"People also ask, AI Overview, Related searches",0.93,0.41
"sri lanka what to visit",12,140,I,"Reviews, Video, People also ask, Images, Bottom Ads, Find results on, AI Overview, Related searches, Middle Ads",0.43,0.32
"do i need a visa to visit sri lanka",39,140,I,"People also ask, Bottom Ads, AI Overview",0.93,0.41
"what is the best time to visit sri lanka",13,140,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.34,0.39
"visit sri lanka visa",43,110,I,"People also ask, AI Overview, Related searches, Sites",1.02,0.41
"sri lanka visit visa",48,110,I,"People also ask, AI Overview, Related searches",0.73,0.36
"sri lanka visiting visa",38,110,I,"People also ask, Bottom Ads, AI Overview, Related searches",1.02,0.41
"visiting sri lanka visa",40,110,I,"Reviews, People also ask, AI Overview, Related searches",1.02,0.41
"is november a good time to visit sri lanka",6,110,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.15,0.13
"visit visa to sri lanka",43,110,I,"People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.73,0.36
"good time to visit sri lanka",12,100,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites, Middle Ads",0.29,0.24
"sri lanka good time to visit",12,100,I,"Featured snippets, Video, People also ask, Related searches",0.29,0.24
"why to visit sri lanka",14,90,I,"Video, People also ask, Find results on, AI Overview, Related searches, Sites",0.52,0.25
"is sri lanka good place to visit",14,90,I,"Reviews, Video, People also ask, Destinations, AI Overview, Related searches",0.61,0.1
"is sri lanka a good place to visit",14,90,I,"Reviews, Video, People also ask, Destinations, AI Overview, Related searches",0.61,0.1
"do you need a visa to visit sri lanka",39,90,I,"People also ask, AI Overview, Related searches, Sites",0.65,0.28
"how to get sri lanka visit visa",0,90,,,0.62,0.7
"best time to visit colombo sri lanka",0,90,,,0.15,0.19
"is september a good time to visit sri lanka",6,70,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.15,0.16
"places to visit in jaffna sri lanka",4,70,I,"Reviews, Video, People also ask, Find results on, Related searches",0.15,0.17
"is october a good time to visit sri lanka",0,70,,,0.29,0.28
"visit sri lanka tours",15,70,"I, N","Reviews, Sitelinks, People also ask, Bottom Ads, Related searches, Sites",1.19,0.51
"visit sri lanka packages",12,70,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Middle Ads",0.64,0.66
"top places to visit in sri lanka",12,70,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.63,0.42
"best time to visit sri lanka for holiday",0,50,,,0.94,0.69
"best season visit sri lanka",17,50,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.35,0.25
"uk visit visa application from sri lanka",0,50,,,2.7,0.16
"best time to visit sri lanka holidays",0,50,,,0.94,0.69
"sri lanka best month to visit",12,50,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches, Sites",0.35,0.25
"places to visit kandy sri lanka",9,50,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches",0,0.1
"is may a good time to visit sri lanka",0,50,,,1.8,0.24
"is january a good time to visit sri lanka",0,50,,,0.22,0.28
"places to visit in ella sri lanka",0,50,,,0,0.01
"top 5 places to visit sri lanka",0,50,,,0.68,0.52
"best time to visit kandy sri lanka",0,50,,,0.48,0.2
"is december a good time to visit sri lanka",0,50,,,0.17,0.2
"is march a good time to visit sri lanka",0,50,,,1.41,0.26
"best part of sri lanka to visit",12,50,I,"Video, People also ask, Bottom Ads, Find results on, Destinations, Related searches, Sites",0.65,0.46
"places to visit in kandy sri lanka",9,50,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches",0,0.1
"cheapest time to visit sri lanka",0,40,,,0.28,0.17
"when to visit sri lanka weather",0,40,,,0,0.03
"places to visit in sri lanka with family",13,40,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, Related searches, Image",0.55,0.44
"is sri lanka a safe place to visit",0,40,,,0,0.02
"sri lanka top places to visit",12,40,I,"Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches, Image",0.56,0.3
"apply visit visa to uk from sri lanka",0,40,,,1.25,0.38
"visit colombo sri lanka",9,40,I,"Reviews, Video, People also ask, Find results on, Related searches",0.5,0.27
"is june a good time to visit sri lanka",0,40,,,0.28,0.23
"best cities to visit in sri lanka",12,40,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.39,0.1
"visiting visa to uk from sri lanka",36,40,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0.8,0.11
"visit visa to uk from sri lanka",18,40,I,"Video, People also ask, Related searches",0.8,0.11
"places to visit in trincomalee sri lanka",5,40,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches",0.34,0.11
"beautiful places in sri lanka to visit",0,30,,,1.15,0.11
"nuwara eliya sri lanka places to visit",0,30,,,0,0.08
"visit visa to india from sri lanka",0,30,,,0,0.16
"sri lanka time to visit",12,30,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.29,0.33
"places to visit in nuwara eliya sri lanka",5,30,I,"Reviews, Video, People also ask, Find results on, Related searches",0,0.07
"places to visit in sri lanka nuwara-eliya",0,30,,,0,0.01
"visit visa to malaysia from sri lanka",0,30,,,0.95,0.14
"best places to visit in sri lanka in august",10,30,I,"Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches, Image",0.59,0.48
"how to apply uk visit visa from sri lanka",0,30,,,0,0
"best place to visit in sri lanka in august",0,30,,,0.59,0.48
"places to visit in sri lanka nuwara eliya",0,30,,,0,0.01
"sri lanka to visit",14,30,I,"Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches, Image",1.27,0.65
"best places to visit in sri lanka in september",13,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Image, Sites, Middle Ads",1.13,0.75
"how many tourists visit sri lanka each year",0,20,,,0,0
"best places to visit in sri lanka in december",14,20,I,"Video, Find results on, AI Overview, Related searches",1.31,0.48
"how long to visit sri lanka",10,20,I,"Video, People also ask, AI Overview, Related searches, Sites",0,0.12
"places to visit in negombo sri lanka",0,20,,,0,0.02
"cities to visit in sri lanka",12,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.48,0.19
"where is the best place to visit in sri lanka",12,20,I,"Video, People also ask, Images, Destinations, AI Overview, Related searches",1.19,0.46
"best time to visit sri lanka east coast",0,20,,,0.58,0.44
"how to visit sri lanka",28,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.57,0.49
"places to visit in sri lanka for couples",13,20,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches, Sites",0.71,0.44
"sri lanka to dubai visit visa",8,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0,0.46
"best place to visit in sri lanka in july",13,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.89,0.64
"best time to visit sri lanka weather wise",16,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview",0,0.27
"beautiful places in sri lanka for visit",0,20,,,0.74,0.2
"visiting sri lanka from uk",21,20,"I, N","Reviews, Sitelinks, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.95,0.6
"how many days to visit sri lanka",7,20,I,"Video, People also ask, Bottom Ads, Find results on, AI Overview, Image, Sites",0,0
"time to visit sri lanka",12,20,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches",0.23,0.21
"places to visit in hatton sri lanka",0,20,,,0,0
"best places to visit sri lanka in july",0,20,,,1.16,0.56
"uk visit visa fees from sri lanka",27,20,I,"Featured snippets, Video, People also ask, Related searches",0,0
"best places to visit in sri lanka in july",11,20,I,"Video, People also ask, Bottom Ads, AI Overview, Related searches, Middle Ads",0.96,0.57
"visit sri lanka tours reviews",0,20,,,2.32,0.24
"best time to visit sri lanka beaches",0,20,,,0.85,0.4
"is sri lanka good to visit in august",0,20,,,1.16,0.26
"beautiful places to visit sri lanka",0,20,,,0.74,0.2
"visit sri lanka tours review",9,20,I,"Reviews, Video, Bottom Ads, AI Overview, Related searches, Image, Sites",0,0.07
"visiting sri lanka in july",6,20,"L, C","Local pack, Reviews, Video, People also ask, AI Overview, Related searches",1.3,0.35
"best places to visit in colombo sri lanka",12,20,I,"Reviews, Video, People also ask, Bottom Ads, Find results on",0,0.03
"best places to visit in sri lanka in january",10,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches",0.81,0.43
"sri lanka must visit places",12,20,I,"Video, People also ask, Images, Find results on, AI Overview, Related searches",0.69,0.53
"visit visa to dubai from sri lanka",0,20,,,0,0.46
"times to visit sri lanka",16,20,I,"Reviews, Video, People also ask, AI Overview, Related searches",0.55,0.37
"uk visit visa fee from sri lanka",29,20,I,"Video, People also ask, AI Overview, Related searches",0,0
"beautiful places to visit in sri lanka",12,20,I,"Video, People also ask, Destinations, AI Overview, Related searches",0.74,0.2
"dubai visit visa from sri lanka",0,20,,,0,0.46
"best time to visit negombo sri lanka",0,20,,,0,0.17
"places to visit in sri lanka",17,20,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, Destinations, AI Overview, Related searches",0.62,0.48
"uk visiting visa from sri lanka",34,20,I,"Reviews, Video, People also ask, AI Overview, Related searches",0,0.01
"sri lanka visit visa application form",0,20,,,0.97,0.63
"best time to visit east coast sri lanka",0,20,,,0.58,0.44
"did buddha visit sri lanka",0,20,,,0,0
"visit to sri lanka visa",37,20,I,"People also ask, AI Overview, Related searches",1.57,0.4
"best time to visit nuwara eliya sri lanka",0,20,,,0,0.07
"sri lanka safe to visit",36,20,I,"Reviews, Video, People also ask, AI Overview, Related searches, Sites",0,0.01
"visiting sri lanka in august",0,20,,,1.88,0.45
"visit sri lanka in august",0,20,,,1.88,0.45
"sri lanka visit in august",0,20,,,1.88,0.45
"best places to visit in sri lanka in february",8,20,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Image",0.47,0.64
"visit visa to germany from sri lanka",0,10,,,0,0
"places to visit in sri lanka near colombo",0,10,,,0,0
"best time to visit sri lanka south",0,10,,,0,0
"maldives president visit to sri lanka",0,10,,,0,0
"go visit sri lanka",0,10,,,0,0
"safe to visit sri lanka",0,10,,,0,0
"places to visit in sri lanka in july",11,10,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches",0,0.86
"best place to visit sri lanka in august",0,10,,,0,0
"places to visit batticaloa sri lanka",0,10,,,0,0
"places to visit in southern sri lanka",0,10,,,0,0
"places worth visiting in sri lanka",12,10,I,"Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches, Middle Ads",0.62,0.48
"visiting sri lanka in june",0,10,,,0,0
"queen visit sri lanka",0,10,,,0,0
"places to visit in mannar sri lanka",0,10,,,0,0
"why visit sri lanka",14,10,I,"Video, People also ask, AI Overview, Related searches, Sites",1.09,0.38
"best time to visit ella sri lanka",0,10,,,0,0
"sri lanka pm visit to india",0,10,,,0,0
"pope francis sri lanka visit",0,10,,,0,0
"places to visit in trinco sri lanka",0,10,,,0,0
"best time of the year to visit sri lanka",12,10,I,"Reviews, Video, People also ask, Bottom Ads, AI Overview, Related searches, Sites, Middle Ads",0.33,0.23
"when is the best time to visit sri lanka",0,10,I,,0.31,0.34
"france visit visa for sri lanka",0,10,,,0,0
"best time to visit northern sri lanka",0,10,,,0,0.28
"home and hotel visit massage in sri lanka",0,10,,,0,0
"places to visit in sri lanka colombo",0,10,,,1.1,0
"visit sri lanka logo",0,10,,,0,0
"best time to visit sri lanka october",0,10,,,0,0
"visit visa to italy from sri lanka",0,10,,,0,0
"best time to visit sri lanka lonely planet",0,10,,,0,0
"visit sri lanka in may",0,10,,,0,0
"best time of year visit sri lanka",0,10,,,0,0
"sri lanka nice places to visit",12,10,I,"Reviews, Video, People also ask, Bottom Ads, Find results on, Destinations, AI Overview, Related searches, Middle Ads",0,0.46
"visiting places in sri lanka list",20,10,I,"Reviews, Video, People also ask, Images, Bottom Ads, Destinations, AI Overview, Related searches, Middle Ads",0,0.56
"visit sri lanka december",0,10,,,0,0
"best time to visit bentota sri lanka",0,10,,,0,0
"sri lanka places to visit near colombo",0,10,,,0,0
"do you need visa to visit sri lanka",0,10,,,0,0
"places to visit in polonnaruwa sri lanka",0,10,,,0,0
"sri lanka where to visit",12,10,I,"Reviews, Video, People also ask, Top Ads, Bottom Ads, AI Overview, Related searches, Sites",1.09,0.38
"visit sri lanka in october",0,10,,,2.75,0
"best places to visit in galle sri lanka",5,10,I,"Reviews, Video, People also ask, Find results on, AI Overview, Related searches",0,0
"does indian need visa to visit sri lanka",0,10,,,0,0
"what to visit in colombo sri lanka",9,10,I,"Reviews, People also ask, Related searches, Image, Sites",0,0
"visiting sri lanka in november",0,10,,,1.02,0
"places to visit in matara sri lanka",0,10,,,0,0
"top places in sri lanka to visit",12,10,I,"Video, People also ask, Bottom Ads, Find results on, AI Overview, Related searches",0,0.56
"visit visa to australia from sri lanka",0,10,,,0,0
"sri lanka beaches to visit",10,10,I,"Reviews, Video, People also ask, Images, Bottom Ads, Find results on, Destinations, AI Overview, Related searches, Middle Ads",0.46,0.5
"best time to visit north sri lanka",0,10,,,0,0
"beautiful place in sri lanka to visit",0,10,,,0,0
"best time to visit sri lanka 2016",0,10,,,0,0
"galle sri lanka places to visit",0,10,,,0,0
"visiting lecturer vacancies in sri lanka",4,10,L,"Images, Related searches",0,0
"sri lanka places to visit in colombo",0,10,,,1.1,0
"ideal time to visit sri lanka",0,10,,,0.2,0.24
"best time to visit sri lanka 2015",0,10,,,0,0
"which national park to visit in sri lanka",0,10,,,0,0
"pope francis sri lanka visit website",0,10,,,0,0
"places to visit sri lanka colombo",0,10,,,1.1,0
"visiting sri lanka in may",0,10,,,0,0
"places to visit in kataragama sri lanka",0,10,,,0,0
"sri lanka places to visit in december",13,10,I,"Reviews, Video, People also ask, Bottom Ads, Destinations, AI Overview, Related searches",0,0
"visit visa sri lanka",43,10,I,"Reviews, People also ask, Bottom Ads, AI Overview, Related searches, Sites",0.98,0.4
"visit visa to qatar from sri lanka",0,10,,,0,0
"pm visit to sri lanka",0,10,,,0,0
"historical places to visit in sri lanka",0,10,,,0,0
"sri lanka visit tour",0,10,,,0,0.56
